fund number,Beta1,Beta2,Beta3,Beta4,Beta5,Beta6,Beta7,Beta8
3257.0,0.12491,0.12469,0.12503,0.12572,0.12529,0.12464,0.12503,0.12468
3258.0,0.12491,0.12469,0.12503,0.12572,0.12528,0.12464,0.12503,0.12468
3259.0,0.12491,0.12469,0.12503,0.12572,0.12529,0.12464,0.12503,0.12469
3260.0,0.12491,0.12469,0.12504,0.12572,0.1253,0.12463,0.12503,0.12468
3261.0,0.12492,0.12468,0.12503,0.12572,0.12529,0.12464,0.12503,0.12468
3263.0,0.12506,0.1244,0.12518,0.12556,0.12532,0.12478,0.12506,0.12464
3265.0,0.1246,0.12539,0.12492,0.12569,0.12532,0.12413,0.12503,0.12492
3325.0,0.12499,0.125,0.12496,0.12512,0.12536,0.12508,0.12443,0.12507
3326.0,0.125,0.125,0.12496,0.12512,0.12537,0.12508,0.12441,0.12505
3327.0,0.12499,0.125,0.12496,0.1251,0.12533,0.12507,0.12449,0.12505
3341.0,0.12543,0.12549,0.12389,0.1258,0.12424,0.12549,0.12532,0.12434
3342.0,0.12543,0.12548,0.12389,0.12582,0.12425,0.12549,0.12531,0.12433
3343.0,0.12543,0.12548,0.12389,0.12582,0.12425,0.12549,0.12531,0.12433
3348.0,0.12544,0.1255,0.12388,0.1258,0.12421,0.12551,0.12532,0.12434
3355.0,0.12488,0.1247,0.1249,0.12542,0.12582,0.12447,0.12492,0.12487
3356.0,0.12488,0.1247,0.1249,0.12542,0.12583,0.12447,0.12493,0.12487
3357.0,0.12488,0.1247,0.12489,0.12542,0.12582,0.12448,0.12492,0.12487
3931.0,0.12491,0.12437,0.12493,0.12658,0.12429,0.12509,0.1252,0.12462
3937.0,0.12491,0.12438,0.12493,0.12658,0.1243,0.12508,0.12519,0.12462
3941.0,0.12491,0.12438,0.12494,0.12659,0.12429,0.12508,0.1252,0.12462
3945.0,0.12493,0.12436,0.12493,0.12656,0.1243,0.12511,0.12518,0.12462
3956.0,0.12493,0.12436,0.12493,0.12656,0.12431,0.12511,0.12518,0.12462
4495.0,0.12461,0.12502,0.12471,0.12574,0.12504,0.12505,0.12519,0.12464
4496.0,0.12462,0.12501,0.12472,0.12573,0.12505,0.12504,0.12519,0.12464
4497.0,0.12461,0.12501,0.12471,0.12574,0.12505,0.12505,0.12518,0.12464
4498.0,0.12461,0.12501,0.12472,0.12574,0.12504,0.12505,0.12519,0.12464
4499.0,0.12462,0.125,0.12472,0.12575,0.12504,0.12505,0.12519,0.12464
4500.0,0.1246,0.12502,0.12472,0.12574,0.12505,0.12504,0.12519,0.12464
4501.0,0.12461,0.12502,0.12471,0.12574,0.12504,0.12505,0.12519,0.12464
4539.0,0.12546,0.12539,0.12429,0.12549,0.12471,0.12512,0.12501,0.12454
4540.0,0.12547,0.12538,0.12429,0.12547,0.12473,0.12511,0.12501,0.12454
4541.0,0.12547,0.12539,0.12428,0.12547,0.12472,0.12512,0.12501,0.12454
4542.0,0.12547,0.12539,0.12428,0.12548,0.12472,0.12512,0.12501,0.12454
4543.0,0.12546,0.12539,0.12428,0.12547,0.12472,0.12512,0.12501,0.12454
4658.0,0.12621,0.12527,0.12408,0.12516,0.12494,0.12505,0.12485,0.12445
4677.0,0.12469,0.12527,0.12456,0.12668,0.12419,0.12475,0.12515,0.1247
4678.0,0.12467,0.12528,0.12456,0.12669,0.12419,0.12476,0.12515,0.1247
4679.0,0.12469,0.12525,0.12457,0.12668,0.12419,0.12476,0.12515,0.12471
4680.0,0.12469,0.12526,0.12456,0.12669,0.12418,0.12477,0.12515,0.1247
4681.0,0.12469,0.12526,0.12456,0.1267,0.12417,0.12477,0.12514,0.12471
4713.0,0.12471,0.12509,0.12515,0.12479,0.12588,0.12444,0.12506,0.12489
5039.0,0.12513,0.12538,0.12452,0.12537,0.12475,0.12504,0.12522,0.12459
5041.0,0.12513,0.12539,0.12451,0.12539,0.12473,0.12504,0.12521,0.12459
5042.0,0.12512,0.1254,0.12452,0.12537,0.12472,0.12505,0.12522,0.1246
5050.0,0.12514,0.12536,0.12452,0.12538,0.12473,0.12506,0.12522,0.12459
5056.0,0.12513,0.12538,0.12444,0.12534,0.12479,0.12507,0.12524,0.12461
5162.0,0.12564,0.12385,0.12535,0.12466,0.12661,0.12392,0.12528,0.12469
5163.0,0.12529,0.12418,0.12524,0.12458,0.12624,0.12447,0.12515,0.12486
5209.0,0.12533,0.12257,0.12695,0.12723,0.12149,0.1266,0.12548,0.12435
5252.0,0.12368,0.12524,0.12533,0.12603,0.12476,0.12501,0.12515,0.1248
5346.0,0.12498,0.1258,0.12324,0.12777,0.12149,0.12737,0.12489,0.12445
5347.0,0.12483,0.12589,0.12328,0.1278,0.12149,0.12728,0.12491,0.12452
5348.0,0.12497,0.12568,0.12327,0.12778,0.12154,0.12738,0.1249,0.12448
5349.0,0.12499,0.1257,0.12328,0.12779,0.12152,0.12734,0.12491,0.12447
5382.0,0.12486,0.12458,0.12509,0.12481,0.12603,0.12501,0.1248,0.12483
5406.0,0.12485,0.12456,0.12509,0.12481,0.12607,0.125,0.12479,0.12483
5415.0,0.12484,0.12456,0.12511,0.12481,0.12606,0.125,0.12479,0.12484
5476.0,0.12535,0.12492,0.1247,0.12493,0.1247,0.12538,0.12495,0.12506
5477.0,0.12534,0.12492,0.1247,0.12494,0.12469,0.12539,0.12495,0.12506
5922.0,0.12471,0.1249,0.12532,0.12615,0.12479,0.12465,0.12476,0.12471
5940.0,0.1244,0.12508,0.12492,0.12525,0.12558,0.12515,0.12498,0.12463
6742.0,0.12456,0.12553,0.1243,0.12541,0.12542,0.12452,0.1256,0.12466
6748.0,0.12477,0.12523,0.12442,0.12536,0.12562,0.12441,0.12557,0.12461
6772.0,0.12589,0.12471,0.12523,0.12389,0.12615,0.12453,0.12486,0.12475
6783.0,0.12491,0.12423,0.12509,0.12613,0.12483,0.12512,0.1248,0.12488
6861.0,0.12432,0.12542,0.12405,0.12297,0.12849,0.12431,0.12597,0.12447
6937.0,0.12515,0.12454,0.12496,0.12565,0.12442,0.12545,0.12499,0.12484
6952.0,0.12492,0.12485,0.12493,0.12555,0.12486,0.1252,0.12488,0.12482
6953.0,0.12493,0.12483,0.12493,0.12553,0.12487,0.12521,0.12488,0.12482
6954.0,0.12492,0.12485,0.12492,0.12554,0.12486,0.12521,0.12488,0.12482
6972.0,0.12541,0.12479,0.12513,0.12481,0.1256,0.12452,0.12501,0.12474
7217.0,0.1249,0.12479,0.125,0.12541,0.12522,0.12511,0.12475,0.12482
